35017
この本はおもしろいだけでなく、ためにもなる。|Ce livre n'est pas seulement intéressant, mais aussi instructif.
イギリスには左側に通行します。|En Angleterre, on roule à gauche.
改善の余地は大いに残されている。|Il reste de nombreuses opportunités d'amélioration.
彼が市長に選ばれたのは驚くべきことではない。|Ce n'est pas surprenant qu'il ait été élu maire.
私はクリスマスケーキの苺が好きです。|J'aime les fraises sur les gâteaux de Noël.
残念ながらどうもそうらしい。|J’en ai bien peur.
酸素と水素から水ができる。|L'oxygène et l'hydrogène forment l'eau.
彼はアメリカ人ではない。|Il n'est pas américain.
彼は子供のように振る舞った。|Il s'est comporté comme un enfant.
万一戦争が起こったら、我々はどうなるのだろう。|Que deviendrons-nous si jamais une guerre se déclenchait ?
「お父さんとうまくいってないのか」「・・・」「すまない。立ち入ったことだった」|« Tu ne t'entends pas bien avec ton père ? » « ... » « Excuse-moi d'avoir été indiscret. »
このシャツの値段は１０ドルです。|Cette chemise coûte dix dollars.
彼はいつも私といっしょです。|Il est toujours avec moi.
この時計は、一年間の保障つきです。|Cette montre est garantie un an.
おまえを一人前の男にしてやろう。|Je vais faire de toi un homme.
彼は２年前に、大佐の階級に昇進した。|Il fut élevé au rang de colonel il y a deux ans.
彼女は頭がよい。|Elle a de la jugeotte.
専攻は何ですか。|Quelle est ta spécialité ?
心臓が興奮でどきどきしていた。|Mon cœur s'emballa d'excitation.
彼の腕の温かさを思い出す。|Je me rappelle la chaleur de ses bras.
みんな独自の個性を持っている。|Chacun a son propre caractère.
父は私に時計を買ってくれたが、私はそれがあまり気に入らない。|Mon père m'a acheté une montre qui ne me plaît pas beaucoup.
夜から雪が降るかもしれないですね。|Il va peut-être neiger ce soir.
トムはもう自分の不安を隠すことができなかった。|Tom ne peut plus cacher son anxiété.
拓也は素っ裸で水泳しました。|Takuya a nagé nu comme un ver.
フランスでは、英語は一般に中学校から教えられる。|L'anglais est généralement enseigné dès le collège en France.
私はカメラを盗まれました。|Je me suis fait voler mon caméscope.
彼は理想的な紳士である。|Il est ce qu'un gentleman devrait être.
かつて一度もこんな大群衆を見たことがない。|Jamais je n'ai vu une telle foule.
それは直訳じゃなくてただの誤訳だよ。|C’est pas une traduction littérale, c’est juste faux.
ロジェは氷で滑って脚に怪我をした。|Roger a dérapé sur la glace et s'est fait mal à la jambe.
マイクはチームのスターなので女の子に人気がある。|Mike est populaire parmi les filles parce qu'il est la vedette de l'équipe.
私の言いたいことはこのことだ。|C'est ce que je veux dire.
サラダは好きではありません。|Je n'aime pas la salade.
概して女の子の方が男の子より語学がうまい。|De façon générale, les filles sont de meilleures linguistes que les garçons.
私は疲れた。|Je suis fatigué.
なんてエレガントなヨットなんでしょう！|Quel élégant yacht !
私はスーパーマーケットで彼を探した。|Je l'ai recherché dans le supermarché.
私は今着いたばかりだ。|Je viens d'arriver.
彼はブラウンさんと仲が良い。|Il s'entend bien avec M. Brown.
遅れてごめん。|Désolé d'être en retard.
日本は石油を外国に頼っている。|Le Japon dépend d'autres pays pour son pétrole.
彼は他人の感情など全くおかまいなしだ。|Il ne fait pas attention aux sentiments des autres.
どうやらひどい風邪にかかったようだ。|Il semble que j'aie contracté un mauvais rhume.
子供はふつう両親を信頼している。|Les enfants ont d'habitude foi en leurs parents.
暇なとき、これをしてくれ。|Faites-le quand vous serez libre.
「ここでたばこを吸ってもいいですか」「はい、いいです」|"Ça ne vous dérange pas si je fume ici ?" "Non, pas du tout."
そちらには伺えませんが。|Désolé, je n'y serai pas.
君は緊張して、よく眠れなかったんだろうね～。|Tu étais probablement trop tendu et ça t'a empêché de bien dormir.
私の考えは君の考えと違う。|Mon idée est différente de la vôtre.
彼はまるで何事もなかったかのような顔をしていた。|Il semblait comme si rien n'était arrivé.
少しのつづりの間違いは別として、それはよい作文である。|Malgré quelques fautes d'orthographe, c'est une bonne copie.
彼らは４０年以上戦闘を行わなかった。|Ils n'avaient pas combattu pendant plus de quarante ans.
そのニュースははたして本当かしら。|Les nouvelles peuvent-elles être vraies ?
彼は社長の鞄持ちだ。|C'est le secrétaire particulier du patron.
誰でも彼が好きだ。|Tout le monde l'aime.
私はすわってはらはらする試合をみていた。|Je me suis assis pour regarder une excitante partie à la télévision.
金属が酸で腐食してしまった。|L'acide brûle le métal.
この通りをいくと郵便局は左側にあります。|Longez cette rue et vous trouverez la poste sur votre gauche.
その調子だよ。|C'est ainsi.
彼の話は私たちを笑わせた。|Son histoire nous a fait rire.
川に落ちそうになった時、彼は木をつかんだ。|Alors qu'il était sur le point de tomber dans la rivière, il s'agrippa à l'arbre.
もうあの本を読み始めましたか。|Avez-vous déjà commencé à lire ce livre ?
親たちは子どもに嘘はいけないというしつけをする。|Les parents apprennent à leurs enfants que mentir, c'est mal.
彼は彼女に自分の計画を知らせた。|Il l'informa de son propre projet.
強い円が経済を揺さぶっている。|Un yen fort secoue l'économie.
おはようございます！|Bonjour !
彼はもうここには住んでいない。|Il n'habite plus ici.
ほかに痛いところはありますか。|As-tu mal autre part ?
私はこの前の日曜日は出かけなかった。|Je ne suis pas sorti dimanche dernier.
京都は以前日本の首都でした。|Kyoto était l'ancienne capitale du Japon.
時間のある時に私に会いに来なさい。|Viens me voir quand tu auras du temps.
よく寝ぼけます。|Je suis souvent à demi endormi.
パスポートがなければ、出国など論外だ。|Sans passeport, il est hors de question de quitter le pays.
お願いだから父さん、彼と仲良くしてくれよ。言葉に出来ないほど大切な友情なんだから。|Je t’en prie, Papa, sois bon avec lui. Je ne pourrais t’exprimer à quel point je tiens à son amitié.
私の仕事で重要なのは具体的な事実や数字であってあいまいな印象ではない。|Je raisonne sur des faits et des chiffres, et non pas sur de vagues impressions.
今日の晩ご飯カレーだといいな。|Je me ferais bien un curry, ce soir.
そういえばもう1年くらい恋愛してないな。|Au fait, ça doit bien faire un an que je suis pas tombée amoureuse.
彼は自分が有罪であることを認めた。|Il admit qu'il était coupable.
結婚後、わたしの日本語は上達し、より理解できるようになった。|Après mon mariage, mon japonais était meilleur et je le comprenais mieux.
お昼いつもどこで食べてるの？|Où est-ce que tu déjeunes, d’habitude ?
背中が痛いのです。|J'ai une douleur au dos.
彼は息を切らして駅に着いた。|Il est arrivé à la gare hors d'haleine.
それを見たいものです。|Je voudrais le voir.
何食べたの？|Qu'est-ce que tu as mangé ?
木が倒れた。|L’arbre est tombé.
「ありがとうございました」「どういたしまして」|« Merci beaucoup. » « Je vous en prie. »
彼は部屋を片付けなければならなかった。|Il devait ranger sa chambre.
彼はバター付きパンが好きだ。|Il aime le pain et le beurre.
ＣＤがレコードに取って代わってしまった。|Les CD ont pris la place des vinyls.
外国人だ。|Je suis étranger.
ご返事をさし上げる前によく考えましょう。|Je vais bien y réfléchir avant de vous donner ma réponse.
オーストラリアへ行って初めて、日本はなんと小さい国かと実感した。|Jusqu'à ce que je me rende en Australie, je ne m'étais pas rendu compte à quel point le Japon était petit.
彼は勇敢にもそのスキャンダルを暴露した。|Il a eu le courage d'exposer le scandale.
我が家には2人の息子がいます。|Nous avons deux fils.
外国語をマスターするには何年もかかる。|Il faut des années afin de maîtriser une langue étrangère.
女というものは、あなたがうまくやった１００ものことには気付かず、ただ失敗したことを暴き立てる、そういうことが出来る生き物だ。|Une femme est capable de ne pas remarquer la centaine de choses que vous avez bien faites, et de ne pointer que celle que vous n'avez pas bien faite.
眼鏡を無くしてしまったのです。|J'ai perdu mes lunettes.
マイクはブレーンの一人だ。|Mike est un de nos cerveaux.
私に何か食べ物を下さい。|Donne-moi quelque chose à manger.
高い山の上で彼らは彼ら自身の小さな町を作り、平和に暮らした。|Au sommet d'une haute montagne, ils ont bâti de leurs propre mains un petit village où ils ont vécu en paix.
彼は早く出発した。さもなければその列車に乗れなかっただろう。|Il partit tôt, autrement il n'aurait pas pu monter dans ce train.
私と彼は仲がいい。|Je suis en bons termes avec lui.
よく聞いて。|Écoute bien.
赤ちゃんは目を覚ましましたか。|Le bébé s'est-il réveillé ?
彼は丈夫で健康そうに見える。|Il semble être fort et en bonne santé.
彼は３発撃った。|Il a tiré trois fois.
宇宙には限りはない。|Il n'y a pas de limites à l'univers.
帆は全部下ろされた。|Toutes les voiles étaient descendues.
私はあなたに会えば必ず父を思い出す。|Je ne vous vois jamais sans penser à mon père.
連帯責任は無責任。|Tous responsables, pas de responsable.
私は君にそれをさせるわけにはいかない。|Je ne peux pas vous permettre de faire ça.
私のおじさんは、かれにプレゼントを与えた。|Mon oncle lui a offert un cadeau.
もちろんわれわれは最善を尽くさなければならない。|Bien sûr, nous devons faire de notre mieux.
あなたがすっかり回復されたことを聞いて喜んでいます。|Je suis heureux d'apprendre que vous êtes remis.
彼は一日中黙っていた。|Il resta silencieux toute la journée.
自己紹介させて頂きます。|Laissez-moi me présenter.
私はそれらの本をドイツに注文した。|J'ai commandé ces livres en Allemagne.
レイは傷が回復するのに２０日かかった。|Il a fallu 20 jours à Rei pour se remettre de sa blessure.
明日の午後、いつでもお出かけください。|Passez me voir n'importe quand demain après-midi.
毎年友達から便りがある。|J'ai des nouvelles de mon ami tous les ans.
トムとはどうやって知り合ったの？|Comment tu as connu Tom ?
私は彼のお父さんに会いたいと思います。|Je voudrais rencontrer son père.
彼は正直どころではない。|Il est loin d'être honnête.
昨日はメールありがとう。返せてなくてごめんね。|Merci pour ton mail, hier. Désolée de pas t’avoir répondu.
彼はブラックさんの車をおぼえている。|Il se souvient de la voiture de M.Black.
彼はすぐに帰ってきた。|Il est revenu peu après.
果実がなる樹木は、成長するための空間がかなり必要だ。|Les arbres fruitiers exigent beaucoup d'espace pour se développer.
彼は、彼らめいめいに鉛筆を与えた。|Il a donné un crayon à chacun d'eux.
彼は私を大人として扱ってくれる。|Il me traite comme un adulte.
この評論を優勝作品に選んだ基準は何ですか。|Quel critère avez-vous utilisé pour élire cet essai en tant que gagnant ?
怒りを抑えることは一種の美徳である。|Garder son calme est une sorte de vertu.
なぜそんなに怒ったのですか。|Qu'est-ce qui t'a mis si en colère ?
彼女は彼の骨折した足の治療をした。|Elle a soigné sa jambe cassée.
制服はあるの。|Avez-vous un uniforme scolaire ?
太郎は、ギターを弾くのがクラスで一番上手です。|Taro joue de la guitare mieux que tous les garçons de sa classe.
人間的な、余りに人間的なものは大抵は確かに動物的である。|Les choses humaines, trop humaines, sont généralement définitivement animales.
彼らは、環境を保護する事を強く主張した。|Ils insistèrent sur la protection de l'environnement.
彼女は無理矢理白状させられた。|Elle fut contrainte d'avouer.
君の無知には感心するよ。|J'admire ton ignorance.
彼は家を５万ドルで売った。|Il a vendu la maison pour 50000 dollars.
あなたにお会いするとは思いませんでした。|Je suis étonné de vous voir.
まだ頭痛い？|T’as toujours la migraine ?
直してある古い汽車に乗ることも出来ます。|Il est aussi possible de monter dans un vieux train à vapeur restauré.
ボブは十時に寝るのが習慣だ。|Bob va d'habitude au lit à 10 heures.
別に失恋が好きなわけじゃないけど、失恋ソングはすごく好きなんだよね。|C’est pas que j’aime particulièrement les chagrins d’amour, mais j’aime beaucoup les chansons sur les chagrins d’amour.
彼の無知には驚いた。|J'étais étonné de son ignorance.
バスの前のほうはすいていた。|L'avant du bus n'était pas bondé.
彼は私より２つ年下だ。|Il est de deux ans mon cadet.
涙が私の頬を流れ落ちた。|Les larmes ont coulé le long de mes joues.
彼には立派な息子が２人いる。|Il a deux beaux garçons.
この箱の開け方分かる？|Tu sais comment s’ouvre cette boîte ?
数十年の内戦の後に秩序が回復した。|Après des décennies de guerre civile, l'ordre fut restauré.
聖書によれば、神は６日で世界を創られた。|D'après la Bible, Dieu créa la Terre en six jours.
3年間交際していた彼氏と先日別れました。|Je me suis séparé l’autre jour de mon copain avec qui je suis resté pendant trois ans.
私は留学することに決心しました。|J'ai pris la résolution d'aller étudier à l'étranger.
今金の持ち合わせがない。|Je n'ai pas d'argent sur moi.
心配しすぎないで。大丈夫だよ。|Ne t'inquiète pas trop. Tout va bien.
女の子がそういうこと言うなよ。|Les filles ne disent pas ça.
彼は私たちに「すぐ出発しなさい」と言った。|Il nous a dit de partir immédiatement.
印刷物には、特別郵袋印刷物というのがあります。|Est inclus dans la catégorie des imprimés, ce qui est appelé «imprimé à distribution spéciale».
私は教えています。|J'enseigne.
彼は演説した。|Il a fait un discours.
彼は嵐に翻弄されていた。|Il se faisait balloter par la tempête.
今日はたくさんしなくてはいけないことがあります。|J'ai beaucoup de choses à faire maintenant.
彼は今朝東京へ向けて出発した。|Il est parti à Tokyo ce matin.
トムとメアリーは顔を見合わせて笑った。|Tom et Marie se sont regardés et ont souri.
彼は英語が話せない。ドイツ語はなおさらだ。|Il ne parle pas l'anglais, encore moins l'allemand.
彼は自分の事業を始めようとしている。|Il projette de lancer son entreprise.
その事故はどのようにして起こったのですか。|Comment l'accident s'est-il déroulé ?
風は次第におさまった。|Le vent s'est calmé progressivement.
私は学校へバスで通っています。|Je vais à l'école en bus.
暗くなるまえに家にかえってきなさい。|Reviens à la maison avant que la nuit tombe.
「今から会えない？」「ごめん、今日は旅行の準備で忙しいんだ」|« On peut pas se voir, là ? » « Désolé, il faut que je prépare mon voyage aujourd’hui. »
私は今彼女の名前を思い出せない。|Je ne peux me souvenir de son nom pour le moment.
よい週末を！|Passe un bon week-end !
私は旅行する時はいつも現金ではなくトラベラーチェックにしています。|Je voyage toujours avec des chèques de voyage et non de l'argent liquide.
費用にはその金で十分。|Il y a bien assez d'argent pour les dépenses.
ごめん、大事なこと言い忘れてた。|Désolé, j’ai oublié de te dire une chose importante.
彼は毒を飲んで自殺した。|Il s'est suicidé en prenant du poison.
彼はロンドンに行き、そこに一週間滞在した。|Il est allé à Londres, où il est resté pendant une semaine.
彼はテニスの優勝者です。|C'est un champion de tennis.
紅茶を一杯飲みたい。|Je veux boire une tasse de thé.
彼が環境担当の大臣です。|Il est le ministre chargé de l'environnement.
私は料理にはあまり興味がない。|Je n'ai pas beaucoup d'intérêt pour la cuisine.
彼女は私に仕事を手伝うように頼んだ。|Elle me demandait de l'aider dans son travail.
彼は力を込めて弓を引いて遠く矢を射ることを試した。|Il a essayé de bander l'arc de toutes ses forces et tirer une flèche au loin.
誕生日プレゼント何が欲しい？|Qu’est-ce que tu veux pour ton anniversaire ?
ボブが泳げないのはかなづちが泳げないのと同じだ。|Bob nage comme une pierre.
こっちの人はのんびりしてるね。|Les gens d'ici vivent une existence détendue.
いい友達がいてよかったね。|Heureusement que tu as de bons amis.
部屋は人でいっぱいだった。|La pièce était pleine de monde.
彼がこの本を読んだはずがない。|Il ne peut pas avoir lu ce livre.
ＩＭＦというのは国際通貨基金を表している。|FMI signifie "Fonds Monétaire International".
ヨーロッパに行く前、フランス語を習いました。|Avant d'aller en Europe, j'ai appris le français.
この近くにはいいレストランがたくさんあるんだ。|Il y a plusieurs bons restaurants près d'ici.
彼女には兄弟が三人いる。|Elle a trois frères.
彼のジョークではいつもみんなが笑うとは限らない。|Quelques personnes rient de ses plaisanteries, mais d'autres ne le font pas.
私は量より質をとる。|Je privilégie la qualité à la quantité.
先生は、月がどういう点で地球と違うかぼくに質問した。|Le professeur m'a demandé en quoi la lune différait de la terre.
私は野生の花が好きです。|J'aime les fleurs des champs.
日本では８世紀には既に立派な都がつくられていました。|Au Japon, de belles villes ont été construites dès le VIIIe siècle siècle.
俺に逆らうな。|Ne t'oppose pas à moi !
彼女はその場の光景を詳細に述べた。|Elle décrivit la scène en détail.
彼の作文には間違いがない。|Sa composition est sans aucune faute.
彼女はまれにみる美しい女性だ。|Elle est une femme de beauté singulière.
「入ってよろしいですか」「はい、どうぞ」|"Puis-je entrer?" "Oui, bien sûr!"
週に何回外食していますか？|Combien de fois par semaine mangez-vous à l'extérieur ?
マカロンが好きな人ってマカロンの何が好きなんだろう。|Qu’est-ce que les gens qui aiment les macarons y trouvent-ils de si bon ?
明日このラジオを修繕してもらおう。|Je vais faire réparer cette radio demain.
ぼくは飛行機より列車で旅行する方が好きだ。|Je préfère voyager par train plutôt que par voie aérienne.
彼の家族はみんな元気です。|Sa famille va très bien.
もし雨なら電話して。|Appelle-moi si jamais il pleut.
私は一番いい服を着ていた。|Je portais mes meilleurs habits.
友だちは何人いるの？|Combien as-tu d'amis ?
それはただ君がうそつきだということを証明するだけだ。|Cela tend à prouver que vous êtes un menteur.
部屋を出るときには、必ず電気を消してください。|Assurez-vous d'éteindre la lumière quand vous quittez la pièce.
少し走ったら胸がどきどきした。|Je sentais mon cœur battre après avoir un peu couru.
彼は名ばかりの会長だ。|Il n'est président que de nom.
ナポレオンの軍隊はモスクワに進軍した。|L'armée de Napoléon a marché jusqu'à Moscou.
何か軽く食べるものある？|As-tu de quoi grignoter?
私は無料で切符を手にいれた。|J'ai eu le billet pour trois fois rien.
彼は腹の底まで腐ったやつだ。|C'est un personnage profondément malhonnête.
彼女は何でも彼の言うことを信じる。|Elle croit tout ce qu'il dit.
正直は結局損にならない。|L'honneteté paye à long terme.
私は退職後のために８エーカーの農場を買った。|J'ai acheté une ferme de 8 acres pour ma retraite.
彼は決して希望を失わない。|Il ne perd jamais espoir.
私たちは意志疎通が上手だ。|Nous sommes doués pour nous comprendre mutuellement.
うまく言えないんだけど・・・自分も理解していないことを君に説明しようとしてるんだ。|Je suis trop bête... J'essaie de t'expliquer des choses que je ne comprends pas moi-même.
天皇陛下万歳|Vive l'Empereur !
彼女は両親の愛情を独占した。|Elle monopolisait l'amour de ses parents.
その間ずっと私はそこにいた。|Pendant tout ce temps, j'étais là.
現在、私に言えるのはそれだけです。|C'est tout ce que je peux dire pour le moment.
彼がいつ来るかご存知ですか。|Savez-vous quand il va venir ?
「ありがとう。」「どういたしまして。」|"Merci." "De rien."
彼にはよくあることだが、彼はまた遅刻した。|Comme c'est souvent le cas avec lui, il était en retard, une fois de plus.
彼は現代文学を研究しています。|Il étudie la littérature contemporaine.
「ここから学校までどのくらいかかりますか」「歩いて約１０分です」|"Combien de temps ça prend pour aller d'ici à ton école ?" "Environ 10 minutes à pied."
私はそれを１０ドルで買った。|J'ai acheté ça pour 10 dollars.
初めに3分程度で自己紹介をお願いします。|Je vous demanderais pour commencer de vous présenter en trois minutes environ.
今日のテレビつまらない。|Il n'y a rien de bon à la télé aujourd'hui.
もし私がそのことを知っていたら、君に話していただろうに。|Si je l'avais su, je vous l'aurais dit.
彼はどうも失敗しやしないかと思う。|J'ai peur qu'il échoue.
彼女は援助しようという私の申し出を断った。|Elle déclina mon offre d'assistance.
縞柄の服で彼女のほっそりした姿が目立つ。|Sa robe rayée accentue sa minceur.
私は数学を英語より熱心に勉強する。|J'étudie les mathématiques plus sérieusement que l'anglais.
詩人は死を眠りにたとえることが多い。|Les poètes comparent souvent la mort au sommeil.
「あの狭い部屋に３０ドルはあんまりだ」と彼は思いました。|"Trente dollars, c'est beaucoup pour cette petite pièce", pensa-t-il.
私はスペイン語がスラスラと読める。|Je peux lire l'espagnol avec aisance.
私の兄は私の２倍も食べる。|Mon frère mange deux fois plus que moi.
ニューヨークにはたくさんの高層ビルがあります。|Il y a de nombreux bâtiments élevés à New-York.
彼の指導の下で商売は繁盛した。|Les affaires ont été florissantes sous sa direction.
なるほど彼はまだ若いが、実に信頼できる人物だ。|C'est vrai qu'il est jeune, mais c'est quelqu'un sur qui on peut vraiment compter.
彼は首尾よくその大学に入学した。|Il a réussi à entrer à l'université.
以前は私の家の裏に、大きな桜の木がありました。|Dans le temps, il y avait un grand cerisier derrière ma maison.
オーストラリアは天然資源が豊かである。|L'Australie est riche en ressources naturelles.
どのようにしてその自動車事故は起きたのですか。|Comment s'est produit l'accident de voiture ?
白は純潔の象徴である。|La couleur blanche est un symbole de la pureté.
彼は彼女の心無い言葉に感情を傷つけられた。|Il a été vraiment blessé par ses mots cruels.
風邪を治すのにひと月以上かかったが、もう大丈夫だ。|Cela m'a pris plus d'un mois pour me débarrasser de mon rhume, mais je vais bien maintenant.
トムは家にいるべきだ。|Tom est censé être chez lui.
４時に彼らはそのホテルに到着した。|Ils arrivèrent à l'hôtel à quatre heures.
彼女は私と同じくらいの年齢です。|Elle a environ mon âge.
車の数が増えている。|Le nombre des voitures augmente.
今日、学校行きたくない。|Je ne désire pas aller à l'école aujourd'hui.
彼女は安月給にいつも不平を言っている。|Elle se plaint sans arrêt de son faible salaire.
英語はたくさんの国々で話されている。|On parle l'anglais dans de nombreux pays.
この座布団を干して下さい。|Aère le coussin, s'il te plait.
散歩には申し分のない日だった。|C'était un jour idéal pour marcher.
５０人もの乗客がその事故でけがをした。|Pas moins de cinquante passagers ont été blessés dans un accident de la route.
彼は私にたくさんの美しい写真を見せてくれました。|Il m'a montré beaucoup de belles photos.
誰もが他の言語を学ぶべきだと私は思う。|Je pense que tout le monde devrait apprendre une autre langue.
今回は君の不注意を許しましょう。|Pour cette fois j'excuse votre négligence.
そちらは今何時ですか？|Quelle heure est-il là-bas, maintenant ?
マリアさんはブラジルのお母さんに電話をかけました。|Maria appela sa mère brésilienne.
男子学生同士が相合傘か、なかなかオツなシチュエーションだな。|Deux étudiants de sexe masculin se partageant un parapluie ? Une situation assez étrange.
最近車の数がずっと増えてきた。|Récemment le nombre de voitures a considérablement augmenté.
彼女は３０歳過ぎだと推定する。|Je lui donne plus de trente ans.
「転石苔を生ぜず」はことわざである。|"Pierre qui roule n'amasse pas mousse" est un proverbe.
私はそのことを知らなかった。|Je ne savais pas.
私はジュディさんとテニスがしたい。|Je veux jouer au tennis avec Judy.
どういう意味？|Qu’est-ce que ça signifie ?
彼女は誰に対しても親切だった。|Elle était de toute bonté envers tout le monde.
